"Øl","Jon Anders","Kjetil","Martin","Eric","Sigvart","Tommy","Ketil","Jonas","Bente","Fredrik","Øyvind"
"Delirium Christmas","8","7","8","7","3","6","8","2","6","8","7"
"Einbecker Weihnachtsbier","6","4","6","5","7","1","4","6","","5","6"
"Jacobsen Christmas Ale – Golden Naked","6","4","7","6","5","5","6","4","","6","4"
"Bourbon Barrel Aged (grønn etikett)","9","0","4","4","2","","4","8","","0",""
"Nøgne Ø Ekstra God Jul – Belgian Strong Ale","7","3","3","2","1","8","6","3","","3",""
"Nøgne Ø God Jul – Christmas Ale","4","6","3","2","4","4","3","4","","6","7"
"Duvel (stor flaske)","8","8","6","5","9","4","5","6","7","7",""
"E.C. Dahls – Kong Vinter","5","4","5","5","3","2","6","3","","6",""
"Berentsens Stelliger Divum – Vintage 2015","7","2","5","0","4","9","5","2","","7",""
"Nøgne Ø Maple Christmas Barleywine","7","3","4","1","4","7","6","","","","
"Einbecker Winter-Bock","6","3","8","5","7","3","6","6","4","","3"
"Nøgne Ø Solstice Beer / Julebrygg Reserve","8","5","5","6","3","2","5","5","","",""
"De Glazen Toren – Canaster Winter Scotch Ale","7","5","4","7","6","5","7","4","","","4"
"Père Noël – Christmas Beer","9","7","9","7","8","6","9","4","","",""
"Cerveza de Navidad 2023/24 – Damm","5","6","8","8","6","4","8","5","","","7"
"Jolabrygg 6.5%","8","0","6","","1","7","6","5","","","3"
"S – New England Christmas 2023","7","9","8","10","9","8","6","6","","",""
"Oslo Brewing Co – Voksenjulebrus","7","8","3","","8","8","1","6","","",""
"Enebærbus (hvit boks)","7","7","5","7","6","4","4","5","","",""
"Julequad Belgian","7","5","3","","3","8","","","","","2"
